tidak_baku,kata_baku
"WA:081210238087""",monoftongisasi
"WA:081210238087""",afiksasi
"WA:081210238087""",zeroisasi
"WA:081210238087""",modifikasi vokal
waaa,wah
waaaaaaaay,jauh
waaaaw,wow
waaahhh,wah
waaaww,wow
waaawwww,wow
waah,wah
wadaaw,waduh
wado,waduh
waduhh,waduh
waduhhh,waduh
waduuuuh,waduh
wagelaseh,wah
wahh,wah
wahhh,wah
wahhhhhh,wah
wait,tunggu
waited,menunggu
waiting,menunggu
wajarrr,wajar
wajiiib,wajib
waktunyaaa,waktunya
walik,balik
wanitah,wanita
wanjerrr,anjir
wanjiir,anjir
wanna,ingin
want,ingin
wants,ingin
waoohhh,wah
waqtu,waktu
warbiyasah,luar biasa
warkop,warung kopi
warnaaa,warna
warnany,warnanya
was,adalah
wasful,waspada
wasnt,tidak
watch,menonton
watching,menonton
waw,wow
wawa,wawa
wawan,wawan
waww,wow
wawwwww,wow
way,cara
wdooohhh,waduh
we,kami
weak,lemah
weeeh,wih
week,wig
week,minggu
well,baik
welp,yaelah
wenak,enak
wenakk,enak
went,pergi
were,adalah
wewww,wow
wey,hei
what,apa
whats,apa
when,ketika
where,dimana
which,yang
while,sementara
whit,dengan
who,siapa
whole,seluruh
wht,apa
why,kenapa
widihh,waduh
widihh,idih
wih,wah
wihh,wih
wihhh,wih
wihhhhhh,wih
wiih,wih
wiiiihhhh,wih
wiiiihhhhhhhhh,wih
wik,wig
will,akan
willing,bersedia
win,menang
wiped,menghapus
wisdow,kebijaksanaan
wish,harapan
with,dengan
without,tanpa
wjh,wajah
wk,waktu
wkt,waktu
wktu,waktu
wktunya,waktunya
wlau,walau
wlaupun,walaupun
wlawpun,walaupun
wlo,walau
wlwpun,walaupun
woe,woi
woey,woy
wokeh,oke
woles,selow
wonderful,indah
wonderfull,indah
wong2,wong-wong
woooiiiii,woy
woooiiiiiiii,woy
wooow,wow
wooowww,wow
woooyy,woy
woow,wow
woowwww,wow
work,kerja
working,bekerja
worst,terburuk
worth,berharga
wota2,wota-wota
would,akan
wouww,wow
wowoooww,wow
woww,wow
wowworth,wow
wowww,wow
wowwww,wow
wowwwww,wow
woyyy,woy
wqktu,waktu
wrn,warna
wrong,salah
wuastagah,astaga
x,kali
xlian,kalian
y,ya
y,saya
y,nya
yaa,ya
yaaa,ya
yaaa ,ya
yaaaa,ya
yaaaaaa,ya
yaaah,ya
yaaampunnn,ya ampun
yaaang,yang
yaah,ya
yaahh,ya
yaahhh,ya
yaak,ya
yaakk,ya
yaakkk,ya
yaampuuuunnnn,ya ampun
yaang,yang
yach,ya
yachhh,ya
yaelahhh,alah
yah,ya
yahbh,ya
yahh,ya
yahhh,ya
yahhhh,ya
yak,ya
yakaliiiii,yakali
yakinn,yakin
yakk,ya
yam,ya
yanckh,yang
yank,sayang
yankkk,sayang
yaoloh,yaallah
yaolohh,ya allah
yap,ya
yapp,ya
yappp,ya
yaudh,ya sudah
yawlah,ya allah
yawloh,ya allah
yayang,sayang
yee,ya
yeee,ya
yeeee,ya
yep,ya
yeuh,ya
yg,yang
ygs,sayang
yh,ya
yha,ya
yhaaa,ya
yng,yang
ynk,sayang
yo,ya
yoiii,yoi
yoiiu,yoi
yok,yuk
yokk,yuk
yokkk,yuk
yoo,ayo
yoo,ya
yook,yuk
yoooiii,yoi
yoookkkk,yuk
yooookkk,yuk
yooow,ya
yq,yang
ysh,ya
yu,yuk
yuh,tuh
yukk,yuk
yukkk,yuk
yukkkk,yuk
yuks,yuk
yukss,yuk
yup,ya
yuppss,ya
yuu,yuk
yuuk,yuk
yuukk,yuk
yuuks,yuk
yuuu,yuk
yuuuk,yuk
yuuuuk,yuk
yuuuukkk,yuk
yuwkkk,yuk
yya,ya
yyaaa,ya
z,saja
za,saja
zama,zaman
